,q6_answers,q36_answers,q37_answers,q39_answers,q12_answers,q13_answers,q22_answers,q23_answers,q31_answers,q34_answers
0,1,1.0,0,1.0,1.0,0,0,0.625,1.0,1.0
1,1,1.0,0,0.6666666666666666,1.0,0,0,0.125,1.0,0.66
2,1,1.0,0,1.0,1.0,0,0,0.25,1.0,1.0
3,1,1.0,1,1.0,0.5,0,0,0.875,1.0,1.0
4,1,1.0,1,0.6666666666666666,0.5,0,0,0.25,1.0,0.66
5,1,1.0,0,1.0,1.0,0,0,0.25,1.0,0.66
6,0,0.5,0,1.0,1.0,0,0,0.5,1.0,0.66
7,1,1.0,0,1.0,1.0,0,1,0.375,1.0,0.66
8,1,1.0,1,1.0,1.0,0,0,0.375,1.0,1.0
9,1,1.0,1,0.6666666666666666,0.5,0,1,0.5,1.0,0.66
10,1,1.0,1,1.0,0.5,0,0,0.5,0.66,0.66
11,1,1.0,1,1.0,1.0,0,0,0.625,1.0,0.66
12,1,1.0,0,1.0,0.5,0,0,0.125,1.0,1.0
13,1,1.0,0,0.6666666666666666,1.0,0,0,0.625,1.0,1.0
14,1,1.0,1,0.6666666666666666,0.5,0,0,0.125,1.0,0.66
15,0,1.0,0,0.6666666666666666,1.0,0,0,0.625,0.33,1.0
16,0,1.0,0,1.0,0.5,0,0,0.25,1.0,0.66
17,1,1.0,0,1.0,1.0,0,0,0.25,1.0,1.0
18,1,1.0,0,1.0,0.5,0,0,0.125,0.66,1.0
19,1,0.5,0,0.3333333333333333,1.0,0,0,0.25,1.0,1.0
20,1,1.0,1,0.6666666666666666,1.0,0,1,0.125,1.0,0.66
21,1,1.0,1,0.6666666666666666,1.0,0,0,0.125,1.0,0.66
22,1,1.0,0,0.6666666666666666,1.0,0,0,0.125,1.0,1.0
23,0,0.5,0,1.0,1.0,0,0,0.125,0.33,0.33
24,1,1.0,0,1.0,1.0,0,1,0.5,1.0,1.0
25,1,0.5,1,1.0,0.5,0,0,0.5,0.66,0.33
26,1,1.0,0,0.6666666666666666,1.0,0,0,0.125,1.0,0.66
27,1,1.0,0,0.3333333333333333,1.0,0,0,0.125,1.0,0.66
28,1,0.5,1,0.6666666666666666,1.0,0,0,0.25,1.0,1.0
29,0,1.0,1,0.6666666666666666,0.5,0,0,0.25,1.0,0.66
30,1,1.0,1,1.0,0.5,0,0,0.25,1.0,0.66
31,1,1.0,1,0.6666666666666666,1.0,0,1,0.375,0.33,0.66
32,1,0.5,1,0.3333333333333333,1.0,0,0,0.375,1.0,0.66
33,1,1.0,1,0.3333333333333333,1.0,0,0,0.375,1.0,0.66
34,0,1.0,0,0.3333333333333333,1.0,0,0,0.375,0.33,0.66
