StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q52,Q1,Q1_9_TEXT,Q25,Q26,Q26_6_TEXT,Q27,Q27_9_TEXT,Q28,Q28_4_TEXT,Q29,Q29_3_TEXT,Q2,Q3,Q4,Q5,Q6,Q10,Q30,Q31,Q34,Q36,Q37,Q39,Q11,Q12,Q13,Q22,Q23,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,SC0
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"INFORMED CONSENT TO PARTICIPATE

MENTAL HEALTH CARE AND INTELLECTUAL AND DEVELOPMENTAL DISABILITIES CURRICULUM FOR HEALTHCARE PROVIDERS


Dear Medical Trainee,



I am Andrea Caoili, Director of Research and Quality Assurance at the National Center for START Services. My team and I are conducting a research study to develop and evaluate the effectiveness of a training for medical students on working with individuals who have intellectual or developmental disabilities (IDD) and mental health concerns (IDD-MH). I am writing to invite you to participate in this study. 



This consent form describes the research study and helps you to decide if you want to participate. It provides important information about what you will be asked to do in the study, about the risks and benefits of participating in the study, and about your rights as a research participant. 
 


	 You should read the information in this document carefully, and ask me or the research personnel any questions, particularly if you do not understand something.
	You should not agree to participate until all your questions have been answered, or until you are sure that you want to. 
	This study will consist of viewing up to 6 hours of recording training during regularly scheduled didactic courses and completing pre- post- self-assessments and training evaluations. Each pre-post assessment will take up to 15-30 minutes to complete. 
	We are seeking up to 136 medical students to participate in this study. 
	You must be at least 18 years old to participate in this study. 




Taking part in this study is completely voluntary. You may choose not to take part at all. If you agree to participate, you may refuse to answer any question. If you change your mind, you may stop participating at any time. Any data collected as part of your participation will remain part of the study records If you decide not to participate or if you stop participating at any time, you will not be penalized or lose any benefits for which you would otherwise qualify. 



The benefit you receive from participating is increased knowledge and tools for treating patients with intellectual and developmental disabilities and mental health challenges. 



To help protect the confidentiality of your information, we will not ask you to identify your name when completing online surveys. Only the research team will have access to the data, and it will be analyzed and aggregated by the team. No third-party data processing will be required. We will report the data in aggregate and participants will not be named in the report. The results may be used in reports, presentations, and publications. 



If you have any questions about this research project or would like more information before, during, or after the study, you may contact Andrea Caoili at andrea.caoili@unh.edu. If you have questions about your rights as a research subject, you may contact Melissa McGee in UNH Research Integrity Services at 603-862-2005 or Melissa.McGee@unh.edu to discuss them. Thank you for your consideration.





Sincerely, 





Andrea CaoiliDirector of Research and Quality Assurance 

National Center for START Services

Institute on Disability/UCED 

University of New Hampshire",Current Year in Medical Training - Selected Choice,Current Year in Medical Training - Other - Text,What is your age range?,What is your gender? - Selected Choice,What is your gender? - Other - Text,What is your race? - Selected Choice,What is your race? - Other - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other - Text,What is your primary language? - Selected Choice,What is your primary language? - Other - Text,"How much experience (personal, professional, or volunteer) do you have interfacing with people with intellectual and developmental disabilities and co-occurring mental health conditions?",How much specific didactics and/or training have you received in the mental health aspects of intellectual and developmental disabilities?,Rate your current level of knowledge of the mental health needs of people with intellectual and developmental disabilities.,What is one question you have in preparation for your participation in this training?,The most common mental health conditions experienced by people with intellectual and developmental disabilities are:,How do you define positive medicine?,Why is the recognition of neurodiversity important in medical care?,Which of the following statements are true about systems of care for people with intellectual and developmental disabilities? Select all correct answers.,What are the three (3) most common medical conditions experienced by people with IDD?,Which of the following statements are true when assessing aggression in patients with intellectual and developmental disabilities? Select all correct answers.,Which of the following is not a common presentation of anxiety in people with intellectual and developmental disabilities and limited communication skills?,Signs of psychosis in people with intellectual and developmental disabilities include which of the following? Select all correct answers.,How do you define culturally competent patient care?,Which of the following are best practices in communicating with patients with IDD-MH and their families? Select all correct answers.,"If a patient with IDD-MH is acting out in the waiting room, you and your waiting room staff should: Select all correct answers.",Which is not a treatment approach that people diagnosed with intellectual and developmental disabilities and OCD may need?,Which of the medications below are among those that should be considered first when treating patients with intellectual and developmental disabilities and mania?Select all correct answers.,Please rate your level of agreement with the following statements using the scale provided. - People with IDD are inaccurate reporters of their symptoms.,Please rate your level of agreement with the following statements using the scale provided. - I have basic knowledge in the treatment needs of patients with IDD.,Please rate your level of agreement with the following statements using the scale provided. - Medical professionals who treat patients with IDD need to specialize with that population.,Please rate your level of agreement with the following statements using the scale provided. - I feel comfortable treating people with IDD.,Please rate your level of agreement with the following statements using the scale provided. - I have thought about the treatment of people with IDD.,Score
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID52""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_9_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_6_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID27_9_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_4_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_3_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID34""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID39""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID53_2""}","{""ImportId"":""QID53_3""}","{""ImportId"":""QID53_4""}","{""ImportId"":""QID53_5""}","{""ImportId"":""SC_9zzmf9m2yTVbssm""}"
2022-03-23 09:42:40,2022-03-23 09:46:29,Survey Preview,,100,229,True,2022-03-23 09:46:31,R_djvqzijTB5L2Pjb,,,,,35.583099365234375,-78.7881011962890625,preview,EN,,3rd Year Medical Student,,33-40,Non-binary,,Asian Indian,,Non-Hispanic,,English,,None,None,Slightly knowledgeable,,"Personality Disorders, Psychotic Disorders & Trauma-Related Disorders",,,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments,Asthma,"Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered",Running away,"talking to themselves, monologue,having an imaginary friend,Unusual interests",,"Ask your patient exploratory questions,Talk to, and engage with, the patients’ caregiver rather than the patient themselves,Know that people with the same disability will always communicate in the same way","Discipline the person to get them to behave,Get a copy of their behavior plan for the next time they are in your office,Administer a PRN,Give the patient the option to wait outside or in the car","Extensive, long-term behavior modification treatment","lithium,quetiapine,divalproex",,,,,,2
2022-03-24 13:30:40,2022-03-24 13:30:44,Survey Preview,,100,4,True,2022-03-24 13:30:45,R_2zqcz6JEOzFKMf0,,,,,43.3043975830078125,-70.979400634765625,preview,EN,Click here if you decline to participate in the research study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-25 10:00:47,2022-03-25 10:00:57,IP Address,184.174.134.134,100,9,True,2022-03-25 10:00:57,R_12SvBoipzeVQw2d,,,,,35.1493988037109375,-85.33840179443359375,anonymous,EN,Click here if you decline to participate in the research study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-28 14:40:42,2022-03-28 14:40:48,IP Address,174.19.98.252,100,5,True,2022-03-28 14:40:49,R_2SH7E5DZhOsRjZh,,,,,35.583099365234375,-78.7881011962890625,anonymous,EN,Click here if you decline to participate in the research study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-28 14:40:55,2022-03-31 06:21:34,IP Address,174.19.98.252,100,229238,True,2022-03-31 06:21:34,R_3PhIpFxHA8Ho4s8,,,,,35.583099365234375,-78.7881011962890625,anonymous,EN,Click here if you consent to participate in the research study,2nd Year Medical Student,,41-50,Male,,American Native or Alaska Native,,Non-Hispanic,,English,,Moderate amount,A great deal,Extremely knowledgeable,fdafad,"Depression, Psychotic Disorders, & Schizophrenia",fdafda,fdafda,The majority of people with IDD receive care in institutions,Asthma,"Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered",Withdrawal,Lip smacking,fdafda,Know that people with the same disability will always communicate in the same way,Get a copy of their behavior plan for the next time they are in your office,"Extensive, long-term behavior modification treatment",lithium,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,-1
2022-03-31 07:22:50,2022-03-31 07:27:41,IP Address,130.189.175.156,100,291,True,2022-03-31 07:27:42,R_210zyA6WedvYKdT,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,Click here if you decline to participate in the research study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 07:22:16,2022-03-31 07:30:30,IP Address,130.189.175.152,100,493,True,2022-03-31 07:30:31,R_XHBBSTCim34VOtb,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,Click here if you consent to participate in the research study,3rd Year Resident,,26-32,Female,,Asian,,Other,Tamil Indian,English,,Some,Some,Somewhat knowledgable,What are supports to provide for people with autism that are non discriminatory?,"Bipolar Disorder, Psychotic Disorders, & Trauma-Related Disorders","Medicine that helps to encourage wellness ",Some treatments are actually harmful to those who are neuro diverse/ helps to support neuro diversity rather than pathologizing it,"In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Neurological disorder(s),Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered",Talking to inanimate objects,"Auditory hallucinations that are intrusive and distressing,Change from baseline behavior","Care that addresses a patients cultural outlook ",Ask your patient exploratory questions,"Get a copy of their behavior plan for the next time they are in your office,Give the patient the option to wait outside or in the car","Extensive, long-term behavior modification treatment","aripiprazole,risperidone",Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,14
2022-03-31 07:24:16,2022-03-31 07:31:42,IP Address,130.189.175.152,100,446,True,2022-03-31 07:31:43,R_es03L5DQE4kCMO5,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,Click here if you consent to participate in the research study,3rd Year Resident,,26-32,Male,,White,,Non-Hispanic,,English,,Some,Some,Slightly knowledgeable,"How mental health diagnoses look different in the ID population ","Anxiety, Depression, & Trauma-Related Disorders","Medicine that is focused towards achieving positive goals ","The truly understand what should he treated and what should not be treated ","In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Neurological disorder(s),Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Staring into space,"having an imaginary friend,Auditory hallucinations that are intrusive and distressing,Covering ears/eyes","Care that acknowledges and respects cultural viewpoints ","Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit",Give the patient the option to wait outside or in the car,"Extensive, long-term behavior modification treatment",risperidone,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,18
