StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,Q67,Q36,Q49_1,Q49_2,Q49_3,Q49_4,Q49_5,Q30,Q31,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q34_1,Q34_2,Q34_3,Q34_4,Q35,Q36,Q37,Q38,SC0
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What are the three most common medical conditions experienced by people with intellectual and developmental disabilities?,Which of the following statements are true when assessing aggression in patients with intellectual and developmental disabilities? Select all correct answers.,"Is this the final level of the curriculum you are viewing? If you are unsure, please select maybe/not sure and complete the remainder of the brief evaluation questions.",Please rate your level of agreement with the following statements using the scale provided. - People with IDD are inaccurate reporters of their symptoms.,Please rate your level of agreement with the following statements using the scale provided. - I have basic knowledge in the treatment needs of patients with IDD.,Please rate your level of agreement with the following statements using the scale provided. - Medical professionals who treat people with IDD need to specialize with that population.,Please rate your level of agreement with the following statements using the scale provided. - I feel comfortable treating people with IDD.,Please rate your level of agreement with the following statements using the scale provided. - I have thought about the treatment of people with IDD.,"Overall, how satisfied were you with this training curriculum?","If you were not satisfied with the curriculum, please tell us why.",Please rate your level of agreement with the following statements using the scale provided. - I plan to share what I've learned with others,Please rate your level of agreement with the following statements using the scale provided. - I plan to apply what I've learned in my future work,Please rate your level of agreement with the following statements using the scale provided. - The format of this curriculum was conducive to my learning,Please rate your level of agreement with the following statements using the scale provided. - I plan to continue to pursue ways to increase my knowledge of the mental healthcare needs of people with IDD,Please rate your level of agreement with the following statements using the scale provided. - I would recommend this course to my colleagues,Please rate the degree to which you agree that the learning objectives of this course were achieved - Learners will recognize their role as healthcare providers for persons with IDD within a broader system of care.,"Please rate the degree to which you agree that the learning objectives of this course were achieved - Learners will provide appropriate, culturally competent care for patients with IDD in their practice.","Please rate the degree to which you agree that the learning objectives of this course were achieved - Learners will identify the unique strengths, needs, and vulnerabilities of persons with IDD as part of an integrated, biopsychosocial framework for assessment and treatment.",Please rate the degree to which you agree that the learning objectives of this course were achieved - Learners will utilize best practices to promote mental wellness for persons with IDD.,What did you find particularly helpful about this course?,What are your recommendations to improve this course for other learners in the future?,Are you interested in receiving information about participating in a focus group for this project?,"If yes, please provide your first name, last name, and email address in the text box below.",Score
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID34""}","{""ImportId"":""QID65""}","{""ImportId"":""QID79""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_2""}","{""ImportId"":""QID72_3""}","{""ImportId"":""QID72_4""}","{""ImportId"":""QID72_5""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID74_2""}","{""ImportId"":""QID74_3""}","{""ImportId"":""QID74_4""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""SC_1YuDNHwVBISrDAa""}"
2022-03-30 08:25:33,2022-03-30 08:36:28,IP Address,174.212.131.196,100,655,True,2022-03-30 08:36:29,R_RDJKjLN9wXxKgmt,,,,,36.15789794921875,-86.86080169677734375,anonymous,EN,"Neurological disorder(s),Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Maybe/Not Sure,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Highly satisfied,,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,"everything ",n/a,Yes,,7
2022-04-07 09:54:20,2022-04-07 10:02:06,IP Address,130.189.175.148,100,466,True,2022-04-07 10:02:07,R_3Do1uUiOluMFoWb,,,,,43.64439999999999741930878371931612491607666015625,-72.2455000000000069348971010185778141021728515625,qr,EN,"Neurological disorder(s),Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Yes,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Highly satisfied,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,"New information ","More examples ",Yes,,7
2022-09-18 09:16:54,2022-09-18 09:18:10,IP Address,64.222.162.82,100,75,True,2022-09-18 09:18:10,R_2zvvbk1Va4i8kr6,,,,,42.8951,-72.0534,anonymous,EN,"Pain (ex: dental, ear),Cardiovascular disease,GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",No,,,,,,,,,,,,,,,,,,,,,5
2022-09-18 15:57:55,2022-09-18 16:19:42,IP Address,73.149.158.196,100,1306,True,2022-09-18 16:19:42,R_3noP609iLev3FQ2,,,,,43.6444,-72.2455,anonymous,EN,"Neurological disorder(s),Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",No,,,,,,,,,,,,,,,,,,,,,7
2022-09-18 18:40:37,2022-09-18 18:41:24,IP Address,73.149.159.172,100,47,True,2022-09-18 18:41:25,R_12yUvHPyzwznyoY,,,,,43.6444,-72.2455,anonymous,EN,"Neurological disorder(s),Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",No,,,,,,,,,,,,,,,,,,,,,7
2022-09-29 07:21:51,2022-09-29 07:22:34,IP Address,172.58.224.71,100,43,True,2022-09-29 07:22:34,R_2DNDSaeho3OBrBF,,,,,40.6627,-73.9138,qr,EN,"Neurological disorder(s),Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",No,,,,,,,,,,,,,,,,,,,,,7
2022-09-29 07:21:58,2022-09-29 07:22:55,IP Address,72.50.16.65,100,57,True,2022-09-29 07:22:55,R_2CV9f1ZKdo5J4vy,,,,,18.3616,-66.1935,qr,EN,"Neurological disorder(s),Pain (ex: dental, ear),GI problems (ex: constipation, GERD)",Behavior is a form of communication,No,,,,,,,,,,,,,,,,,,,,,4
2022-09-29 07:22:14,2022-09-29 07:24:27,IP Address,172.58.224.237,100,133,True,2022-09-29 07:24:27,R_3nPqIjVlSQaP6vS,,,,,40.6627,-73.9138,qr,EN,"Neurological disorder(s),Cardiovascular disease,GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Maybe/Not Sure,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Highly satisfied,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Everything ","Nothing ",No,,5
