StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q7,Q3,Q4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which training module are you evaluating?,Please rate your overall satisfaction with this presentation.,"If were not satisfied with the presentation, please describe why. This will help the study team with future revisions to the curriculum.",What was the most helpful/what did you like about the training?,What recommendations do you have to improve the training
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}"
2022-03-25 10:01:24,2022-03-25 10:01:38,IP Address,184.174.134.134,100,14,True,2022-03-25 10:01:39,R_27TleO7fQfkK0Yu,,,,,35.1493988037109375,-85.33840179443359375,anonymous,EN,,,,,
2022-03-25 10:05:38,2022-03-25 10:05:43,Spam,184.174.134.134,100,5,True,2022-03-25 10:05:44,R_22FAZcewuL7wGuG,,,,,35.1493988037109375,-85.33840179443359375,anonymous,EN,,,,,
2022-03-30 08:25:04,2022-03-30 08:25:24,IP Address,174.212.131.196,100,19,True,2022-03-30 08:25:24,R_2f0RY9Ei3L9XGAu,,,,,36.15789794921875,-86.86080169677734375,anonymous,EN,"Introduction to Positive Medicine- Joan Beasley, PhD and Dan Tomasulo, PhD",Highly satisfied,n/a,everything,"none at all "
2022-03-30 08:36:47,2022-03-30 08:37:37,IP Address,174.212.131.196,100,49,True,2022-03-30 08:37:37,R_8jHZFmTECNP7LdT,,,,,36.15789794921875,-86.86080169677734375,anonymous,EN,"Psychiatric Assessment in IDD- Dan Baker, PhD and Jennifer McLaren, MD",Highly satisfied,n/a,everything,"none "
2022-03-31 07:54:22,2022-03-31 07:55:17,IP Address,216.66.108.218,100,55,True,2022-03-31 07:55:18,R_2P0gATiK02IKohk,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD",Highly satisfied,,"I enjoyed the definitions of neurodiversity and Melanie's description of things to always keep in mind when working with neurodivergent patients. ",
2022-03-31 08:14:01,2022-03-31 08:14:42,IP Address,216.66.108.218,100,41,True,2022-03-31 08:14:43,R_VPSwRuMoNL0jmX7,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,"Culturally Competent Patient Care- Roberto Blanco, MD and Kristal Garcia, LMSW",Satisfied,,"The patient experience at the end was very powerful. ",
2022-03-31 08:14:28,2022-03-31 08:15:14,IP Address,130.189.175.200,100,46,True,2022-03-31 08:15:14,R_12xVhtuARcM2Qqx,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,"Introduction to Positive Medicine- Joan Beasley, PhD and Dan Tomasulo, PhD",Highly satisfied,,Learning about person vs identity first language,
2022-03-31 08:14:56,2022-03-31 08:15:47,IP Address,130.189.175.152,100,50,True,2022-03-31 08:15:48,R_DB1RTNZxgfnzM2Z,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD",Satisfied,,"Clear definitions and reframing ","Fantastic as is "
2022-03-31 08:15:28,2022-03-31 08:16:02,IP Address,130.189.175.204,100,33,True,2022-03-31 08:16:02,R_2zuR2ALZuiL2mSz,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,"The Lived Experience Perspective- Melanie Hecker, MPA, Susan Klick, BA, and Beth Grosso, MSW",Highly satisfied,,Personal lived experience,
2022-03-31 08:14:51,2022-03-31 08:16:08,IP Address,130.189.154.70,100,77,True,2022-03-31 08:16:08,R_3O3AfzOaKwJ3zZ8,,,,,43.6237945556640625,-72.1320037841796875,anonymous,EN,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD",Highly satisfied,,Overview of the topic and reframing in terms of cultural competency,Closed captions at time were a bit inaccurate
